question,answer
Q1,R1
mon TL ne fonctionne plus,est ce que c'est le lire lait qui ne s'allume plus ou bien il n'aspire pas
je ne sais pas encore ma taille. (pour une location),"On vas vous envoyer plusieurs taille (dépendant du modèle choisi) la taille 21mm,19mm,17mm et 15mm, OU la cslr vas amener plusieurs tailles et vous assistera sur place."
l'une des deux téterelles n'aspire pas,il faut verifier toutes les pieces des teterelles à la lumiere du jours et voir s'il y a des fissure ou une dilatation
mon chargeur est cassée,si c'est un Mamivac il faut envoyé une photo du bout du chargeur qui rentre dans le TL par mail
mon tire lait manque de puissance,ça vient soit de tire lait soit des téterelles
la valve de ma tèterelle est déchirée,il faut changer la pièce déchirée
mon TL ne tient plus la charge,on vous envoi un autre chargeur
j'ai des doutes au niveaux de la taille de ma téterelle,"dans la téterelle il faut que le mamelon soit la seule partie aspiré dedans , il ne faut pas qu'il y a un effet frottement contre les parois de la téterelle et il ne faut pas que l'aréole rentre dans la téterelle avec le mamelon"
"Moon pro,  un pb d'aspiration remarqué en effectuant le tirage sein après l'autre",Il faut vérifier que le deuxième orifice est fermé
pourquoi le sepa,une garantie ou cas ou vous gardez le TL sans envoyé d'ordonnance ou si vous ne renvoyer pas le matériels
je tire rien avec le tire lait,elle a oublié de placer la valve 1/2 sphère
La batterie ne se charge pas (Moon Pro),Aprés vérification je lui ai envoyer d'un nouveau TL
je tire moins bien qu'au début,Son bébé a 3 mois et elle utilise toujours le paramétrage de base elle n'a pas ralenti la vitesse et n'a pas augmenté la puissance
"J’ai reçu une relance me demandant de renvoyer une nouvelle ordonnance, alors que je vous en ai déjà transmis une valable pour 6 mois","L’ordonnance initiale n’est valable que 10 semaines. Ensuite, conformément à la réglementation de la Sécurité sociale, vous devez nous transmettre une nouvelle prescription de prolongation tous les 3 mois"
je souhaite louer un tire lait à main libre,les tires lait mains libres ne sont pas pris en charge par la sécurité sociale par contre nous proposons des tires lait électriques à la location qui sont pris par la sécu .
"J’ai reçu un appel concernant le rendez-vous en visioconférence, mais je n’arrive pas à le réserver car on me demande un numéro client ou un numéro de tire-lait.",Le numéro de votre tire lait est collé sur la machine ça commence par TIR.
Je n'ai pas encore reçu ma facture de 15 €,"Vous recevrez la facture par mail dans un délai maximum de trois jours. Si vous ne la recevez pas d’ici là, n’hésitez pas à nous recontacter"
la batterie de mon tire lait ne tient plus de charge et quand je le branche sur secteur aussi ça se charge plus,je vous envoie un nouveau tire lait
faible aspiration,"(après avoir vérifier que tt est bon au niveau des parties en silicone, des tuyaux et que c'est la bonne taille) envoyer un nouveau TL"
Je souhaiterais procéder à un échange de tire-lait. Ma sage-femme m’a recommandé le modèle Spectra S1,"Le Spectra est en rupture de stock en ce moment, les quantités sont assez limitées et la demande est très importante.
Nous n'avons pas encore de date de réapprovisionnement à vous communiquer."
Le tactile du Moon Pro ne fonctionne pas,Il faut lui envoyer un nouveau TL
Le TL n'aspire pas d'un coté (Mamivac),Aprés vérificationde panne je lui ai envoyer un nouveau TL
Le TL ne fonctionne pas sur batterie (Moon Pro),envoyer un nouveau TL
Le TL ne s'allume pas,Aprés vérification de prise secteur et le chargeur je lui ai envoyer un nouveau TL
le TL s'allume mais il n'y a pas d'aspiration,J'ai fait les vérifiactions nécessaire et il s'est avére que le moteur est défectueux donc je lui ai envoyer un nouveau TL
Le TL se bloque soudainement (Sensitive),Aprés vérification de panne je lui ai envoyer un nouveau TL
J'ai été débité de 15€ deux fois suite au paiement des téterelles.,Nous allons vérifier de notre cote et si c'est le cas vous serez remboursée dans un délais de 72h au maximum.
Les téterelles du Moon Pro sont elles compatibles avec leurs tire lait manuel ?,"Non pas du tout elles ne sont pas compatibles.  
les tires lait manuels proposent qu'une seule taille standard c'est la taille M qui correspond à 24 mm ."
Comment faire fonctionner mon Seinbiose Essential Duo en double pompage ?,La conseillère vous a normalement expliqué suite à l'installation du TL qu'il faut brancher le Raccord Y (embout en plastique) pour utiliser les 2 téterelles simultanément.
Je veux racheter un kit téterelle mais je voudrais bien avoir des explications afin de prendre la bonne mesure et revoir les réglages avec une conseillère.,RDV en Visioconférence proposé
J'ai un message d'erreur sur mon Medela Symphony disant qu'il faut insérer la carte.,"Il faut retirer la carte , la nettoyer puis la remettre.
Si le problème persiste merci de nous rappeler pour que l'on vous envoie un nouveau Tire-Lait."
"J'ai actuellement un tire lait en location et je souhaite 
garder celui ci à domicile et en louer un autre pour la reprise de travail . Est qu'il sera aussi pris en charge ??","la sécu ne prend en charge qu'un seul tl le 2éme sera totalement à votre charge . 
Autoristaion sepa ( frais de location par semaine 7.5 euros+ kit double 37euros ou simple 20 euros + frais de port à domicile par voie postale 6.90 euros)"
"Ma date de terme est dans un mois , je voulais savoir si la location du TL est prise en charge et comment je peux savoir quelle taille prendre pour les téterelles ?","Oui ,c'est pris en charge par la sécurité sociale si vous avez une ordonnance .
Concernant la taille des téterelles , vous allez recevoir la taille standard + des adaptateurs afin d'avoir la taille moyenne et 3 tailles S (15mm-17mm-19mm)."
j'ai tiré hier soir avec mon tire ça a bien fonctionné mais ce matin je tire quasiment rien  .,"Est ce que vous avez lavé par hasard les tuyaux transparents et/ou les capuchons ??
Oui en effet il s'est avéré que mon mari les a lavé ."
Mon tire-lait Mamivac redémarre tout seul et de manière aléatoire et intempestive.,Si allons vérifié pour voir si le dysfonctionnement provient du chargeur ou du TL et nous vous renvoyons le matériel adéquat via Chronopost.
L'embout qui sert à fermer le deuxième orifice est perdu (Moon Pro),Je lui ai envoyer un nouveau TL
Pourquoi vous n'avez tjrs pas de MEDELA,"Nous n'en avons pas bcp en stock et actuellement ils sont encore tous en location, on attend le retour des mamans et on renouvelle le stock du lundi au vendredi de 9 à 10h vous pouvez nous recontacter pour vérifier la disponibilité"
la visio est-elle obligatoire ?,"oui, c'est exigé par la sécu pour la prise en charge"
Comment retourner mon TL ?,"Le retour se fait pas chronopost, l'étiquette est à télécharger sur notre site."
Est-ce que vous avez des TL sans caution ?,On ne fait pas de chèque de caution sur nos TL mais il y a juste un mandat SEPA sans prélèvement immédiat à signer à la place.
est ce que vous vendez séparément les petites valves là svp?,"oui , c'est disponible sur notre site ou sinon vous pouvez passer commande avec moi par téléphone"
c'est quoi le kit téterelle ?,"c'est les accessoires de pompage, ceux qui se collent aux seins afin de tirer le lait"
